SS2_Donor01_CD4T_CD19-CAR_rep1	SS2_Donor01_CD4T_CD19-CAR_rep2	SS2_Donor01_CD8T_CD19-CAR_rep1	SS2_Donor01_CD8T_CD19-CAR_rep2	SS2_Donor01_CD4T_CD19-CAR-CD25_rep1	SS2_Donor01_CD4T_CD19-CAR-CD25_rep2	SS2_Donor01_CD8T_CD19-CAR-CD25_rep1	SS2_Donor01_CD8T_CD19-CAR-CD25_rep2	SS2_Donor02_CD4T_CD19-CAR_rep1	SS2_Donor02_CD4T_CD19-CAR_rep2	SS2_Donor02_CD8T_CD19-CAR_rep1	SS2_Donor02_CD8T_CD19-CAR_rep2	SS2_Donor02_CD4T_CD19-CAR-CD25_rep1	SS2_Donor02_CD4T_CD19-CAR-CD25_rep2	SS2_Donor02_CD8T_CD19-CAR-CD25_rep1	SS2_Donor02_CD8T_CD19-CAR-CD25_rep2	SS2_Donor03_CD4T_CD19-CAR_rep1	SS2_Donor03_CD4T_CD19-CAR_rep2	SS2_Donor03_CD8T_CD19-CAR_rep1	SS2_Donor03_CD8T_CD19-CAR_rep2	SS2_Donor03_CD4T_CD19-CAR-CD25_rep1	SS2_Donor03_CD4T_CD19-CAR-CD25_rep2	SS2_Donor03_CD8T_CD19-CAR-CD25_rep1	SS2_Donor03_CD8T_CD19-CAR-CD25_rep2
A1BG	5.5479	5.9097	4.23262	6.35712	3.77993	9.63624	5.65455	5.1045	9.95823	11.6075	13.1987	10.1004	13.6813	0	6.26938	16.0514	10.0951	27.1866	5.41015	3.65806	4.46468	6.67976	16.1151	23.8747
A1BG-AS1	5.38856	9.14309	3.44438	15.641	12.3126	4.48093	8.29669	4.25494	11.9637	7.26889	1.42852	2.98802	14.0066	2.66212	17.4126	21.6823	0	41.5511	5.47964	2.22371	1.71946	3.70701	12.5919	16.8754
A1CF	1.239123654173	1.027774615625	0	0.93608181527	1.375080984739	0.5786058123197	0.329158360022	0	0.735270320357	0.5796306828208	0.862535506561	0.2510755241627	0.2812681812642	1.459502276877	0.951730397131	0.26944406033	0.2952007971288	0	0.248529020923	0	0.519051680565	0.4696877002985	0.586659005854	0.6192050139553
A2M	19.4751	14.8935	15.0356	14.3353	12.114	11.9537	8.02609	11.5904	9.20047	11.0485	24.648	25.3178	16.326	24.9589	24.8026	29.447	13.7358	52.5669	12.3498	10.4468	26.8108	20.9059	12.8703	13.1203
A2M-AS1	3.2849	9.32887	6.69355	16.8415	17.9471	7.61389	17.8782	9.07686	7.87493	1.3098	18.8061	11.3948	20.3908	10.9782	12.3898	21.2025	17.2905	107.45	11.7529	18.831	46.9843	34.4667	16.7235	13.8991
A2ML1	1.29482	0.669489	0	0	0	0	0	0.661574	0	0	0.555835	1.96057	0	0.736887	0	0.709581	0.85778	3.3272	0	0	0.674456	0.653391	0	0.852597
A2MP1	15.1204	4.60462	0	8.28892	0	4.99131	2.92592	1.98178	0	0	10.2669	11.2268	15.0374	7.199	7.29774	21.4994	26.1119	0	2.10295	11.2994	23.1927	0	2.62302	8.17048
A4GALT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AA06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	18.5819	42.4132	40.5175	17.0047	42.3215	29.2065	19.846	24.6819	28.5988	44.4365	37.8951	55.2359	117.326	39.8981	23.932	39.7929	0	0	32.3623	38.5317	25.6338	51.1565	38.7116	53.840573
AACS	6.28851	11.9023	9.63108	2.68879	17.2339	1.62139	4.7615	6.44514	17.1248	25.0928	6.65547	8.72911	4.07095	9.35026	5.54414	15.565	0	0	2.72951	0.928343	0	8.78547	11.8946	11.5592
AACSP1	2.20537	2.34868	1.68512	1.41333	0	2.5558	0	1.01562	1.58602	2.63804	1.31219	1.1475	0	3.68514	2.49534	2.45153	0	0	0	1.45863	0	4.25574	4.02096	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	1.80228	0	0	0.770747	1.64772	0	0	0.554351	0	0	0	1.251	0	0	0.681273	0	0.731368	1.47697	0	0	0	0.581397	0	0.764978
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	1.43542	0	0	0	0	0	0	0	0	1.61791	0	1.38446	0	0	0	0	2.30729	0	0
AAED1	6.33028	6.74692	3.20716	8.09798	0	0	5.71768	3.87259	3.01744	2.51939	0	0	2.44863	11.7223	2.37684	2.33414	0	0	2.05453	0	0	8.09483	0	0
AAGAB	43.9545000228918	24.95724	28.9458	22.3059	45.8170917	30.74732	20.805909108	20.7871	28.2953	62.8387	34.624030056	31.0317	30.03975	36.2535	38.4129	30.7672	76.8986	48.2336	19.8794	30.9008	33.063980161837	14.62198	32.1789	23.1255
AAK1	19.5287	17.1146	10.1191	11.4751	15.1044	12.7848	9.44221	8.54905	13.6037	16.9783	9.781	9.66978	13.3638	17.071	13.6805	14.0781	7.5693	8.82527	9.30596	7.7069	18.3365	20.8092	8.65762	12.6117
AAMDC	13.8025	44.2704	40.9522	8.74972	18.0247	23.6165	18.3568	0	105.759	40.885	16.286	14.2594	7.89846	37.8625	53.2934	44.7538	0	0	13.2893	25.7961	29.7504	0	41.6942	67.6084
AAMP	99.5466	108.942	89.4823	62.8899	118.946	118.436	63.0135	72.7769	131.214	65.216	189.792	153.218	95.1538	154.842	140.245	133.226	115.808	93.5624	82.4514	61.1567	62.9164	109.035	114.342	131.33
AANAT	5.08691	4.05832	0	0	0	2.94111	1.7265	1.16847	3.65637	4.55187	1.50955	2.712623	1.47695	1.41284	0	1.40931	3.08521	0	1.238	0	1.36131	4.8947	0	11.2655
AAR2	31.4338	38.75322	32.0505	24.4248	41.6816	54.1142	33.7178	29.8457	75.4185	12.537	31.7448	53.5359	42.1465	41.39972	51.9482	57.37865	85.6757	74.8244	23.2438	49.2208	12.2604	26.67682	60.2146	35.0961
AARD	9.71564	1.51841	0	1.87232	3.76641	0	7.54407	2.81617	6.64655	0	3.50482	2.05944	7.56435	0	2.50589	0	2.32567	5.36853	1.35778	1.83549	1.58343	5.10457	1.74312	4.54725
AARS	41.6179	34.708	22.3094	15.1256	36.1192	24.144	17.0169	17.2754	76.0022	43.1777	37.1645	51.2712	20.2067	40.2231	31.4507	43.2654	54.021	8.52308	26.4191	13.8245	57.2748	57.0267	21.9291	32.6605
AARS2	10.3677	10.0729	2.95079	6.30161	28.1435	10.9911	5.17015	7.30628	19.2641	7.23442	7.5532	9.18854	5.6394	3.12518	7.28681	21.0877	13.9336	0	6.09642	8.61227	8.20501	6.09665	8.98781	13.4251
AARSD1	24.1907	29.7437	8.49626	26.1975	55.5719	23.6697	10.0951	25.6369	39.972	4.44558	28.7569	32.8937	6.48284	24.8262	12.5903	51.5225	0	0	12.6895	26.8551	51.9344	21.4476	22.6028	30.5584
AASDH	3.24508	5.52755	6.95982	5.82808	3.55876	4.51878	4.4237	2.99387	12.1673	7.76996	4.63682	2.02714	0	8.68621	6.62256	3.6153	0	7.9764	6.97292	3.45108	0.695958	14.4421	3.15684	2.47852
AASDHPPT	24.5681	22.6709	13.7876	18.904	19.8555	38.9435	16.7336	28.6925	24.7764	22.485	24.3727	26.4266	21.9404	22.824	22.2669	29.1715	27.8643	2.01147	18.3902	11.953	42.1582	18.2046	29.7825	43.7368
AASS	4.10962	1.36626	1.54209	1.87123	1.12271	2.08851	0.708895	1.25636	2.03297	1.47742	1.04498	1.50932	1.0522	0.47241	0.95819	1.38523	28.8333	0	3.62466	0	2.82823	0.412194	1.55856	1.03828
AATF	94.1428	125.327	68.502	67.5124	91.829	63.6394	71.6641	94.9614	91.8743	104.565	98.6898	111.962	84.7818	82.3971	136.944	102.15	138.842	316.156	65.6126	66.7002	88.9696	156.78	91.2709	71.1201
AATK	0	0	0	0	0	0	0	0	0	0	0	0	0.520902	0	0	0	0	0	0	0	0	0	0.543288	0
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	4.7324900068412	0	1.4513700142757	4.2511400331799	2.5986800149322	6.0439000123856	1.9368400225871	0	0	2.83376	6.763770053111	3.44964	7.72548	7.9208800433219	8.59169	2.63847	0	0	1.38720000740516	1.2606500449751	2.60891	7.33357	1.72670000622234	2.41241
ABCA1	0	0	0	0.272545	0	0	0	0	0.306901	0	0	0.221109	0	0.237023	0	0	0	0	0	0	0	0	0	0
ABCA10	0.356394	0	0	0	0	0	0.486437	0	0	0	0	0	0	0	0.4046	0	0	0	0	0.475291	0.403472	0	0	0.454522
ABCA11P	3.8466	4.09712	1.95755	0	0	7.42583	2.39348	5.9009	26.965	13.2267	10.678	12.0065	13.4237	9.14942	10.275	7.12034	1.55615	0	1.25064	2.25611	6.80136	6.17904	3.11653	9.75387
ABCA12	0	0	0	0	0	0.322062	0	0.256131	0	0	0	0	0	0.619018	0	0	0	0	0	0	0	0	0	0
ABCA13	0.925234	1.26391	0.599347	0.177976	0	1.06255	0.890625	0.126815	0.751995	0.155466	0.308862	0.55827	1.21613	0.294383	0.785326	0.447796	0.804522	0.317936	0.260036	0.692176	0.415993	1.00841	0.652164	0.49575
ABCA17P	0	0	0	0	0	0	0	0	0	0	0.651778	0	0	0	0	0.610043	0	0	0	0	0	0	0	0
ABCA2	11.27678	8.49133	8.86621	3.17775	5.29453	5.43166	5.25886	6.60842	7.94998	9.22615	8.51602	11.1753	12.51487	2.763469	12.8102	7.98137	1.341334	46.0585110124	5.9147	6.97522	13.5664000049822	6.66932	13.3863	14.0419
ABCA3	6.80446	0.362115	1.04416	2.18355	0	1.18546	0.464398	1.25698	1.96606	4.48298	0	4.96064	3.57178	0.379758	0	0.759223	0	9.21125	1.99512	2.72284	0.364735	0.329775	5.3798	0.867888
ABCA4	0	0	0	0	0	0	0.418783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	1.37025	2.61594	0.743371	1.59185	0.753645	1.41092	0.748354	1.02297	3.5646	1.46319	0.586853	0.570867	1.27894	1.91479	1.4182	0.70575	0	0	1.07153	0.365806	1.46888	2.6602614	1.00008	1.659238
ABCA6	0	0	0	0	0	0	0	0	0	0	0	0	0.499822	0	0	0	0	0	0	0	0	0	0	0
ABCA7	13.2087	15.8158	17.2296	13.9879	20.877	18.7936	16.2274	7.93035	8.58759	17.8005	16.1283	14.7883	12.3265	15.4812	13.1225	18.7918	18.9177	2.43838	16.4601	13.6558	12.7442	13.7641	25.3048	21.4817
ABCA8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	3.30923	1.91247	2.85076	0.946371	1.04573	1.89869	1.70722	0.661546	3.35778	0.963762	1.77706	1.90825	1.25449	1.64826	0.422832	1.59828	1.75529	0.935755	0.357654	0.985497	1.62139	2.72432	1.34786	1.89631
ABCB1	0	0	0	3.72262	0	0	0	1.78534	0	8.10608	5.75837	3.02078	0	0	1.64573	0	4.12242	0	1.88959	1.28778	0	4.21414	2.35207	0
ABCB10	8.35332	8.25742	6.40025	6.88952	9.81928	10.3873	11.3898	11.5622	7.74642	7.14391	7.10519	9.93988	6.25928	9.31777	14.2095	9.97361	53.0271	13.2024	12.2396	5.55542	10.8765	13.2814	7.25585	10.637
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0.820469	0	0	0	0	0.626532	1.40278	0	0	0	0	0	0	0	0.645246	0	0	0
ABCB5	5.83369	5.50713	3.586796	8.072929	15.18112	7.37318	6.958245	5.386158	5.47387	5.96876	5.959357	4.66729	10.486781	8.39243	1.47768	6.797077	4.334053	10.44307	4.90546	5.83437	5.51081	3.39186	8.44731	9.56038
ABCB6	0	0	9.4735	2.97617	6.35571	8.97278	3.16171	3.56654	18.9496	5.555	6.44624	9.66274	1.80229	3.4497	12.2711	3.44495	14.1142	0	2.2659	2.05375	0	1.49562	2.82148	13.7743
