target_id	length	eff_length	est_counts	tpm
CD19-CAR-GFP	2181	1997.7	512.411	673.173
CD19-CAR-CD25-GFP	3063	2879.7	28.2384	25.7354
NM_001103170	4049	3865.7	0	0
NM_001103169	3832	3648.7	0	0
NM_001013630	1575	1391.7	0	0
NM_000350	7325	7141.7	0	0
NM_012089	3857	3673.7	10	7.14391
NM_002858	3616	3432.7	15.2526	11.6613
NM_001122674	967	783.784	1.87092	6.26468
NM_005158	11940	11756.7	0	0
NM_001136001	2140	1956.7	0	0
NM_001168237	11918	11734.7	0	0
NM_007314	12227	12043.7	0	0
NM_001136000	11631	11447.7	0.0412106	0.00944781
NM_001168236	12164	11980.7	0	0
NM_001168238	11855	11671.7	0	0
NM_001168239	11568	11384.7	9.99249	2.30352
NM_000016	2603	2419.7	37	40.131
NM_001127328	2615	2431.7	0	0
NM_030649	3759	3575.7	11	8.07368
NM_022735	3565	3381.7	7	5.43254
NM_032360	1616	1432.7	40	73.2729
NM_147161	3181	2997.7	2.57093	2.25083
NM_015547	2015	1831.7	0.429069	0.61477
NM_181865	1430	1246.7	0.000100249	0.000211036
NM_181866	1414	1230.7	38.262	81.5932
NM_181864	1625	1441.7	0	0
NM_007274	1805	1621.7	20.7379	33.5609
NM_016361	1808	1624.7	5	8.07673
NM_001100	1492	1308.7	4.01956	8.06078
NR_024438	1983	1799.7	1.00056	1.45909
NM_030812	1861	1677.7	0	0
NM_001103	4528	4344.7	0	0
NM_080431	1422	1238.7	0	0
NM_207191	2764	2580.7	0	0
NM_001261464	2864	2680.7	20.8363	20.3991
NM_207197	2981	2797.7	0	0
NM_001261465	2836	2652.7	0	0
NM_207195	2906	2722.7	0	0
NR_048579	3048	2864.7	0	0
NM_207194	2909	2725.7	0	0
NM_207196	2978	2794.7	5.8143	5.46012
NR_048578	3123	2939.7	0	0
NM_001261466	2226	2042.7	0	0
NM_003815	2834	2650.7	0	0
NR_048577	3120	2936.7	41.3494	36.953
NM_021794	2992	2808.7	0	0
NM_005099	4332	4148.7	7.24437	4.58277
NM_025008	2893	2709.7	0	0
NM_019032	4201	4017.7	0	0
NM_001025107	6540	6356.7	79.1964	32.6974
NM_015840	6593	6409.7	36.3751	14.8938
NM_001193495	6709	6525.7	0.996219	0.400652
NM_015841	6536	6352.7	0.0215177	0.00888952
NM_001111	6671	6487.7	8.45998	3.4223
NM_052998	2182	1998.7	0	0
NM_020247	2924	2740.7	27	25.8548
NM_018417	5421	5237.7	0	0
NM_001167749	4966	4782.7	0	0
NR_046083	2128	1944.7	18.2208	24.5897
NM_015999	2175	1991.7	64.7792	85.3594
NM_000674	2919	2735.7	0	0
