target_id	length	eff_length	est_counts	tpm
CD19-CAR-GFP	2181	1991.8	27.5505	32.4585
CD19-CAR-CD25-GFP	3063	2873.8	185.329	151.332
NM_001103170	4049	3859.8	0	0
NM_001103169	3832	3642.8	0	0
NM_001013630	1575	1385.8	0	0
NM_000350	7325	7135.8	0	0
NM_012089	3857	3667.8	17	10.8765
NM_002858	3616	3426.8	14.5651	9.974
NM_001122674	967	777.798	3.03095	9.14442
NM_005158	11940	11750.8	0	0
NM_001136001	2140	1950.8	0	0
NM_001168237	11918	11728.8	0	0
NM_007314	12227	12037.8	0	0
NM_001136000	11631	11441.8	0.0687955	0.0141095
NM_001168236	12164	11974.8	0	0
NM_001168238	11855	11665.8	0	0
NM_001168239	11568	11378.8	10.815	2.23036
NM_000016	2603	2413.8	18	17.4991
NM_001127328	2615	2425.8	0	0
NM_030649	3759	3569.8	32	21.0354
NM_022735	3565	3375.8	0	0
NM_032360	1616	1426.8	14	23.0256
NM_147161	3181	2991.8	0	0
NM_015547	2015	1825.8	8	10.2821
NM_181865	1430	1240.8	0	0
NM_181866	1414	1224.8	70.5635	135.195
NM_181864	1625	1435.8	0	0
NM_007274	1805	1615.8	30.4365	44.2031
NM_016361	1808	1618.8	0	0
NM_001100	1492	1302.8	2.00935	3.61928
NR_024438	1983	1793.8	1.00041	1.30873
NM_030812	1861	1671.8	0	0
NM_001103	4528	4338.8	0	0
NM_080431	1422	1232.8	0	0
NM_207191	2764	2574.8	0	0
NM_001261464	2864	2674.8	11.4904	10.0807
NM_207197	2981	2791.8	0.320484	0.269381
NM_001261465	2836	2646.8	0	0
NM_207195	2906	2716.8	19.6162	16.9434
NR_048579	3048	2858.8	0	0
NM_207194	2909	2719.8	38.9257	33.5849
NM_207196	2978	2788.8	0	0
NR_048578	3123	2933.8	0	0
NM_001261466	2226	2036.8	3.64727	4.20208
NM_003815	2834	2644.8	0	0
NR_048577	3120	2930.8	0	0
NM_021794	2992	2802.8	0	0
NM_005099	4332	4142.8	4.68185	2.65197
NM_025008	2893	2703.8	0	0
NM_019032	4201	4011.8	0	0
NM_001025107	6540	6350.8	95.735	35.3742
NM_015840	6593	6403.8	14.9019	5.46069
NM_001193495	6709	6519.8	43.2169	15.5548
NM_015841	6536	6346.8	0.26651	0.098538
NM_001111	6671	6481.8	7.22306e-07	2.61499e-07
NM_052998	2182	1992.8	0	0
NM_020247	2924	2734.8	56	48.0516
NM_018417	5421	5231.8	0	0
NM_001167749	4966	4776.8	0	0
NR_046083	2128	1938.8	25.7504	31.1671
NM_015999	2175	1985.8	42.2496	49.9266
NM_000674	2919	2729.8	0	0
NM_001048230	2764	2574.8	0	0
NM_000677	2245	2055.8	0	0
